,Make,Model,Year,MSRP,Front Wheel Size (in),Displacement,Engine Type,"Width, Max w/o mirrors (in)","Height, Overall (in)","Length, Overall (in)",Drivetrain,Passenger Capacity,Passenger Doors,Body Style,Net Horsepower,City Gas Mileage (mpg),Highway Gas Mileage (mpg)
2024 Acura MDX,Acura,MDX,2024,49850,19,35,Gas,78.7,67.1,198.4,FWD,7,4,SUV,290,19,26 
2023 Acura MDX,Acura,MDX,2023,49550,19,35,Gas,78.7,67.1,198.4,FWD,7,4,SUV,290,19,26 
2022 Acura MDX,Acura,MDX,2022,48000,19,35,Gas,78.7,67.1,198.4,FWD,7,4,SUV,290,19,26 
2020 Acura MDX,Acura,MDX,2020,56250,20,35,Gas,77.7,67.4,196.2,FWD,6,4,SUV,290,20,27 
2019 Acura MDX,Acura,MDX,2019,44300,18,35,Gas,77.7,67.4,196.2,FWD,7,4,SUV,290,20,27 
2018 Acura MDX,Acura,MDX,2018,44200,18,35,Gas,77.7,67.4,196.2,FWD,7,4,SUV,290,19,27 
2017 Acura MDX,Acura,MDX,2017,44050,18,35,Gas,77.8,67.4,196.2,FWD,7,4,SUV,290,19,27 
2016 Acura MDX,Acura,MDX,2016,43015,18,35,Gas,77.2,67.6,193.6,FWD,7,4,SUV,290,19,27 
2015 Acura MDX,Acura,MDX,2015,42765,18,35,Gas,77.2,67.6,193.6,FWD,7,4,SUV,290,20,28 
2014 Acura MDX,Acura,MDX,2014,42290,18,35,Gas,77.2,67.6,193.6,FWD,7,4,SUV,290,20,28 
2013 Acura MDX,Acura,MDX,2013,43280,18,37,Gas,78.5,68.2,191.6,AWD,7,4,SUV,300,,
2012 Acura MDX,Acura,MDX,2012,43030,18,37,Gas,78.5,68.2,191.6,AWD,7,4,SUV,300,16,21 
2011 Acura MDX,Acura,MDX,2011,42930,18,37,Gas,78.5,68.2,191.6,AWD,7,4,SUV,300,16,21 
2010 Acura MDX,Acura,MDX,2010,42230,18,37,Gas,78.5,68.2,191.6,AWD,7,4,SUV,300,16,21 
2009 Acura MDX,Acura,MDX,2009,40990,18,37,Gas,78.5,68.2,190.7,AWD,7,4,SUV,300,15,20 
2008 Acura MDX,Acura,MDX,2008,40195,18,37,Gas,78.5,68.2,190.7,4WD,7,4,SUV,300,15,20 
2023 Acura TLX,Acura,TLX,2023,40050,18,20,Gas,75.2,56.4,194.6,FWD,5,4,4dr,270,22,31 
2022 Acura TLX,Acura,TLX,2022,38900,18,20,Gas,75.2,56.4,194.6,FWD,5,4,4dr,270,22,31 
2021 Acura TLX,Acura,TLX,2021,37500,18,20,Gas,75.2,56.4,194.6,FWD,5,4,4dr,270,22,31 
2020 Acura TLX,Acura,TLX,2020,33000,17,24,Gas,73,57,190.7,FWD,5,4,4dr,200,23,33 
2019 Acura TLX,Acura,TLX,2019,33000,17,24,Gas,73,57,191.7,FWD,5,4,4dr,200,23,33 
2018 Acura TLX,Acura,TLX,2018,33000,17,24,Gas,73,57,191.7,FWD,5,4,4dr,200,23,33 
2017 Acura TLX,Acura,TLX,2017,32000,17,24,Gas,73,57,190.3,FWD,5,4,4dr,200,24,35 
2016 Acura TLX,Acura,TLX,2016,31695,17,24,Gas,73,57,190.3,FWD,5,4,4dr,200,24,35 
2015 Acura TLX,Acura,TLX,2015,31445,17,24,Gas,73,57,190.3,FWD,5,4,4dr,200,24,35 
2024 Acura Integra,Acura,Integra,2024,31500,17,15,Gas,72,55.5,185.8,FWD,5,4,4dr,200,30,37 
2023 Acura Integra,Acura,Integra,2023,31300,17,15,Gas,72,55.5,185.8,FWD,5,4,4dr,200,30,37 
2024 Acura RDX,Acura,RDX,2024,44050,19,20,Gas,74.8,65.7,187.4,AWD,5,4,SUV,270,,
2023 Acura RDX,Acura,RDX,2023,41750,19,20,Gas,74.8,65.7,187.4,FWD,5,4,SUV,270,22,28 
2022 Acura RDX,Acura,RDX,2022,40600,19,20,Gas,74.8,65.7,187.4,FWD,5,4,SUV,270,22,28 
2021 Acura RDX,Acura,RDX,2021,38400,19,20,Gas,74.8,65.7,186.7,FWD,5,4,SUV,270,22,28 
2020 Acura RDX,Acura,RDX,2020,37800,19,20,Gas,74.8,65.7,186.7,FWD,5,4,SUV,270,22,28 
2019 Acura RDX,Acura,RDX,2019,39400,19,20,Gas,74.8,65.7,186.8,AWD,5,4,SUV,270,21,27 
2018 Acura RDX,Acura,RDX,2018,37500,18,35,Gas,73.7,65,184.4,AWD,5,4,SUV,270,19,27 
2017 Acura RDX,Acura,RDX,2017,37170,18,35,Gas,73.7,65,184.4,AWD,5,4,SUV,270,19,27 
2016 Acura RDX,Acura,RDX,2016,36870,18,35,Gas,73.7,65,184.4,AWD,5,4,SUV,270,19,28 
2015 Acura RDX,Acura,RDX,2015,36495,18,35,Gas,73.7,66.1,183.5,AWD,5,4,SUV,270,19,27 
2014 Acura RDX,Acura,RDX,2014,35920,18,35,Gas,73.7,66.1,183.5,AWD,5,4,SUV,270,19,27 
2013 Acura RDX,Acura,RDX,2013,35720,18,35,Gas,73.7,66.1,183.5,AWD,5,4,SUV,270,19,27 
2012 Acura RDX,Acura,RDX,2012,34895,18,23,Gas,73.6,65.2,182.5,AWD,5,4,SUV,240,17,22 
2011 Acura RDX,Acura,RDX,2011,34895,18,23,Gas,73.6,65.1,180.7,AWD,5,4,SUV,240,17,22 
2010 Acura RDX,Acura,RDX,2010,34520,18,23,Gas,73.6,65.1,180.7,AWD,5,4,SUV,240,17,22 
2009 Acura RDX,Acura,RDX,2009,33895,18,23,Gas,73.6,65.2,180.7,AWD,5,4,SUV,240,17,22 
2008 Acura RDX,Acura,RDX,2008,33195,18,23,Gas,73.6,65.2,180.7,4WD,5,4,SUV,240,17,22 
2013 Acura ZDX,Acura,ZDX,2013,50920,19,37,Gas,78.5,62.8,192.4,AWD,5,4,SUV,300,16,23 
2010 Acura ZDX,Acura,ZDX,2010,45495,19,37,Gas,78.5,62.8,192.4,AWD,5,4,SUV,300,16,23 
2024 Alfa Romeo Tonale,Alfa Romeo,Tonale,2024,42995,18,13,Gas/Electric,72.4,63.2,178.3,AWD,5,4,SUV,280,,
2024 Alfa Romeo Giulia,Alfa Romeo,Giulia,2024,45075,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2023 Alfa Romeo Giulia,Alfa Romeo,Giulia,2023,46280,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2022 Alfa Romeo Giulia,Alfa Romeo,Giulia,2022,45350,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2021 Alfa Romeo Giulia,Alfa Romeo,Giulia,2021,42350,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2020 Alfa Romeo Giulia,Alfa Romeo,Giulia,2020,41400,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2019 Alfa Romeo Giulia,Alfa Romeo,Giulia,2019,40545,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
2018 Alfa Romeo Giulia,Alfa Romeo,Giulia,2018,40195,17,20,Gas,73.7,56.5,182.5,AWD,5,4,4dr,280,23,31 
